"file_name","part_code","day_of_recording","recording_number","topic","file_name_csv","duration_original","vocab_size","age","order"
"P_0437_17_6_BATH__","P_0437",55,6,"BATH","P_0437_17_6_BATH__.csv",2081,26,17.52367175,153
"P_0418_24_9_PLAY__","P_0418",175,9,"PLAY","P_0418_24_9_PLAY__.csv",1099,121,24.5594424,154
"P_0471_29_11_BATH__","P_0471",154,11,"BATH","P_0471_29_11_BATH__.csv",2241,303,29.72119937,155
"P_0404_17_4_NAPPY__","P_0404",70,4,"NAPPY","P_0404_17_4_NAPPY__.csv",2140,108,17.91820095,156
"P_0502_21_9_NAPPY__","P_0502",151,9,"NAPPY","P_0502_21_9_NAPPY__.csv",347,148,21.63335087,157
"P_0141_25_8_NAPPY__","P_0141",167,8,"NAPPY","P_0141_25_8_NAPPY__.csv",1065,70,25.80878485,158
"P_0300_24_9_BED__","P_0300",118,9,"BED","P_0300_24_9_BED__.csv",75,36,24.29642294,159
"P_0203_14_2_BATH__","P_0203",49,2,"BATH","P_0203_14_2_BATH__.csv",1055,31,14.79484482,160
"P_0449_20_8_PLAY__","P_0449",144,8,"PLAY","P_0449_20_8_PLAY__.csv",1443,109,20.81141504,161
"P_0137_22_4_BED__","P_0137",38,4,"BED","P_0137_22_4_BED__.csv",670,99,22.91557075,162
"P_0449_18_5_NAPPY__","P_0449",75,5,"NAPPY","P_0449_18_5_NAPPY__.csv",1346,38,18.70725934,163
"P_0440_18_1_PLAY__","P_0440",38,1,"PLAY","P_0440_18_1_PLAY__.csv",1610,7,18.04971068,164
"P_0369_27_7_PLAY__","P_0369",160,7,"PLAY","P_0369_27_7_PLAY__.csv",2178,368,27.84718569,165
"P_0437_20_9_NAPPY__","P_0437",124,9,"NAPPY","P_0437_20_9_NAPPY__.csv",1961,68,20.02235665,166
"P_0471_28_9_BED__","P_0471",112,9,"BED","P_0471_28_9_BED__.csv",1331,145,28.11020516,167
"P_0193_17_1_PLAY__","P_0193",102,1,"PLAY","P_0193_17_1_PLAY__.csv",1952,16,17.98395581,168
"P_0339_26_9_NAPPY__","P_0339",168,9,"NAPPY","P_0339_26_9_NAPPY__.csv",1399,236,26.99237244,169
"P_0286_21_2_BED__BATH","P_0286",43,2,"BED","P_0286_21_2_BED__BATH.csv",851,143,21.4689637,170
"P_0209_20_2_MEAL__","P_0209",24,2,"MEAL","P_0209_20_2_MEAL__.csv",660,54,20.21962125,171
"P_0369_26_4_BED__","P_0369",124,4,"BED","P_0369_26_4_BED__.csv",1261,235,26.36770121,172
"P_0376_17_8_PLAY__","P_0376",133,8,"PLAY","P_0376_17_8_PLAY__.csv",1669,123,17.75381378,173
"P_0209_23_4_BED__","P_0209",140,4,"BED","P_0209_23_4_BED__.csv",822,209,23.83613887,174
"P_0502_20_4_MEAL__","P_0502",115,4,"MEAL","P_0502_20_4_MEAL__.csv",672,128,20.41688585,175
